product_id,product_category_name_english,similarity_score,review_score,popularity_score,final_product_score
2028bf1b01cafb2d2b1901fca4083222,perfumery,1.0,0.8567375886524824,0.2618595825426945,0.8237194342390354
595fac2a385ac33a80bd5114aec74eb8,perfumery,1.0,0.881132075471698,0.20113851992409867,0.8164541190791594
617186c3d97ea56c9c683a8a3974e8c1,perfumery,1.0,0.8610526315789473,0.18026565464895636,0.8082636572455807
fbc1488c1a1e72ba175f53ab29a248e8,perfumery,1.0,0.9241379310344827,0.11005692599620494,0.8068389714061375
473795a355d29305c3ea6b156833adf5,perfumery,1.0,0.8522727272727273,0.16698292220113853,0.8038511298947733
62c89abe1afe3a23c17765d462718a4c,perfumery,1.0,0.9875,0.030360531309297913,0.8035721062618596
ffb97eb64c6fe1baada2410288c04457,perfumery,1.0,1.0,0.015180265654648957,0.8030360531309298
39084b68d30ae3ce2bdaf467ed4f3dbc,perfumery,1.0,1.0,0.013282732447817837,0.8026565464895636
f4938e02188d323c8412d2ea07d230e4,perfumery,1.0,1.0,0.013282732447817837,0.8026565464895636
6cd51331a07b84149502aa6c9c5b536e,perfumery,1.0,1.0,0.013282732447817837,0.8026565464895636
